com.gsnathan.pdfviewer - Cumulative average rating by country for 2018-02-23 - 2019-03-27
,,Metric,Cumulative average rating,Cumulative average rating,Cumulative average rating,Cumulative average rating,Notes
,,Dimension,All countries,Canada,Germany,India
Period,Date
2018-02-23 - 2019-03-27,2019-01-06,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-07,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-08,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-09,,4.57,4.63,4.44,3.78
2018-02-23 - 2019-03-27,2019-01-10,,4.57,4.63,4.44,3.78
2018-02-23 - 2019-03-27,2019-01-11,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-12,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-13,,4.56,4.63,4.43,3.78,Rollout of release - Started rollout of 2.5 at 100%
2018-02-23 - 2019-03-27,2019-01-14,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-15,,4.56,4.63,4.44,3.78
2018-02-23 - 2019-03-27,2019-01-16,,4.56,4.63,4.43,3.78
2018-02-23 - 2019-03-27,2019-01-17,,4.54,4.63,4.39,3.78,Rollout of release - Started rollout of 2.6 at 100%
2018-02-23 - 2019-03-27,2019-01-18,,4.54,4.63,4.40,3.78
2018-02-23 - 2019-03-27,2019-01-19,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-20,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-21,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-22,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-23,,4.55,4.63,4.41,3.78
2018-02-23 - 2019-03-27,2019-01-24,,4.55,4.63,4.42,3.78
